title,author,genre,tropes,imageUrl,synopsis,rating,ratedBy
The Warrior's Apprentice,Lois McMaster Bujold,Science Fiction,"Disabled hero, Mercenary fleet, Impostor, Comedy of errors",https://covers.openlibrary.org/b/id/8456982-L.jpg,A disabled young man accidentally creates a mercenary fleet and becomes a military leader.,4.18,45678
Cetaganda,Lois McMaster Bujold,Science Fiction,"Diplomatic mission, Mystery, Genetic engineering, Political",https://covers.openlibrary.org/b/id/8456983-L.jpg,Miles investigates a mystery during a diplomatic mission to the genetically obsessed Cetaganda Empire.,4.05,23456
Brothers in Arms,Lois McMaster Bujold,Science Fiction,"Clone, Identity, Earth, Conspiracy",https://covers.openlibrary.org/b/id/8456984-L.jpg,Miles discovers he has a clone and must unravel a conspiracy on Earth.,4.06,23456
Borders of Infinity,Lois McMaster Bujold,Science Fiction,"Novellas, Prison break, Rescue, Various missions",https://covers.openlibrary.org/b/id/8456985-L.jpg,Three novellas featuring Miles on different dangerous missions.,4.12,12345
Mirror Dance,Lois McMaster Bujold,Science Fiction,"Clone brother, Identity, Rescue mission, Psychological",https://covers.openlibrary.org/b/id/8456986-L.jpg,Miles' clone brother takes his place on a mission with devastating consequences.,4.32,34567
Memory,Lois McMaster Bujold,Science Fiction,"Career crisis, Mystery, Medical, Character growth",https://covers.openlibrary.org/b/id/8456987-L.jpg,Miles faces a career-ending medical crisis and must reinvent himself.,4.37,34567
Komarr,Lois McMaster Bujold,Science Fiction,"Mystery, Romance, Terraforming, Political intrigue",https://covers.openlibrary.org/b/id/8456988-L.jpg,Miles investigates an accident on a terraforming project and falls in love.,4.14,23456
A Civil Campaign,Lois McMaster Bujold,Science Fiction,"Comedy of manners, Romance, Regency-style, Bug butter",https://covers.openlibrary.org/b/id/8456989-L.jpg,Miles courts a widow while managing family scandals and business ventures.,4.36,34567
Diplomatic Immunity,Lois McMaster Bujold,Science Fiction,"Space station, Mystery, Bioweapons, Married life",https://covers.openlibrary.org/b/id/8456990-L.jpg,Miles and his wife investigate a hostage crisis involving bioweapons.,4.09,23456
Cryoburn,Lois McMaster Bujold,Science Fiction,"Cryonics, Corporate conspiracy, Child allies, Aging",https://covers.openlibrary.org/b/id/8456991-L.jpg,Miles investigates a cryonics corporation with help from local children.,4.02,23456
Captain Vorpatril's Alliance,Lois McMaster Bujold,Science Fiction,"Marriage of convenience, Comedy, Adventure, Side character focus",https://covers.openlibrary.org/b/id/8456992-L.jpg,Miles' cousin Ivan accidentally gets married during a rescue mission.,4.18,23456
Gentleman Jole and the Red Queen,Lois McMaster Bujold,Science Fiction,"Later life, Romance, Colony building, Character study",https://covers.openlibrary.org/b/id/8456993-L.jpg,Cordelia builds a new colony and explores late-life romance.,3.82,23456
Ethan of Athos,Lois McMaster Bujold,Science Fiction,"All-male planet, Culture clash, Mystery, Space station",https://covers.openlibrary.org/b/id/8456994-L.jpg,A man from an all-male planet ventures into the wider galaxy on a mission.,3.72,12345
Falling Free,Lois McMaster Bujold,Science Fiction,"Genetic engineering, Quaddies, Corporate exploitation, Prequel",https://covers.openlibrary.org/b/id/8456995-L.jpg,An engineer helps genetically modified zero-gravity workers escape corporate slavery.,3.96,23456
The Vor Game / The Mountains of Mourning,Lois McMaster Bujold,Science Fiction,"Omnibus, Military, Murder mystery, Justice",https://covers.openlibrary.org/b/id/8456996-L.jpg,Two stories: Miles' first military assignment and investigating an infanticide.,4.26,12345
Young Miles,Lois McMaster Bujold,Science Fiction,"Omnibus, Origin stories, Three novels, Coming of age",https://covers.openlibrary.org/b/id/8456997-L.jpg,Omnibus containing Miles' early adventures.,4.32,8901
Miles  Mystery and Mayhem,Lois McMaster Bujold,Science Fiction,"Omnibus, Three novels, Mystery focus, Adventures",https://covers.openlibrary.org/b/id/8456998-L.jpg,Omnibus of Miles' mystery-focused adventures.,4.31,6789
Miles Errant,Lois McMaster Bujold,Science Fiction,"Omnibus, Two novels, Space adventures, Character growth",https://covers.openlibrary.org/b/id/8456999-L.jpg,Omnibus of Miles' middle-period adventures.,4.33,6789
Miles in Love,Lois McMaster Bujold,Science Fiction,"Omnibus, Romance arc, Three works, Character development",https://covers.openlibrary.org/b/id/8457000-L.jpg,Omnibus focusing on Miles' romantic relationships.,4.4,8901
Miles  Mutants and Microbes,Lois McMaster Bujold,Science Fiction,"Omnibus, Two novels, Biological threats, Later adventures",https://covers.openlibrary.org/b/id/8457001-L.jpg,https://covers.openlibrary.org/b/id/8457001-L.jpg,4.1,4567
The Algebraist,Iain M. Banks,Science Fiction,"Gas giant dwellers, Ancient aliens, Mystery, Non-Culture",https://covers.openlibrary.org/b/id/8456854-L.jpg,A researcher studies ancient aliens living in gas giants and uncovers galactic secrets.,3.95,23456
The Knife of Never Letting Go,Patrick Ness,Science Fiction,"YA, Telepathic noise, Boy and dog, Colony world",https://covers.openlibrary.org/b/id/8457002-L.jpg,"On a world where everyone can hear thoughts, a boy discovers his town's dark secret.",4.01,234567
The Ask and the Answer,Patrick Ness,Science Fiction,"YA sequel, Totalitarian regime, Resistance, War",https://covers.openlibrary.org/b/id/8457003-L.jpg,The chaos knife trilogy continues as war erupts on New World.,4.17,123456
Monsters of Men,Patrick Ness,Science Fiction,"YA conclusion, Three-way war, Aliens, Peace",https://covers.openlibrary.org/b/id/8457004-L.jpg,The trilogy concludes with a three-way war between humans and aliens.,4.27,89234
More Than This,Patrick Ness,Science Fiction,"YA, Afterlife, Virtual reality, Mystery",https://covers.openlibrary.org/b/id/8457005-L.jpg,A teen dies and wakes up in a deserted suburban England.,3.96,67890
The Rest of Us Just Live Here,Patrick Ness,Science Fiction,"YA, Normal kids, Background apocalypse, Slice of life",https://covers.openlibrary.org/b/id/8457006-L.jpg,Ordinary teens deal with normal problems while chosen ones save the world in the background.,3.61,45678
Release,Patrick Ness,Science Fiction,"YA, One day, Ghost story, Coming out",https://covers.openlibrary.org/b/id/8457007-L.jpg,"A gay teen's eventful day dealing with family, relationships, and a ghost.",3.82,23456
And the Ocean Was Our Sky,Patrick Ness,Science Fiction,"Whales, Moby Dick reversal, Illustrated, Novella",https://covers.openlibrary.org/b/id/8457008-L.jpg,Moby Dick retold from the whales' perspective with stunning illustrations.,3.83,12345
Dune Messiah,Frank Herbert,Science Fiction,"Sequel, Religious empire, Conspiracy, Prophet",https://covers.openlibrary.org/b/id/8457009-L.jpg,Paul Atreides rules as Emperor but faces conspiracies and the burden of prescience.,3.86,234567
Children of Dune,Frank Herbert,Science Fiction,"Next generation, Twin heirs, Desert power, Transformation",https://covers.openlibrary.org/b/id/8457010-L.jpg,Paul's twin children navigate political intrigue and supernatural transformation.,3.9,178234
God Emperor of Dune,Frank Herbert,Science Fiction,"3500 years later, Immortal tyrant, Sandworm emperor, Philosophy",https://covers.openlibrary.org/b/id/8457011-L.jpg,Leto II has ruled as a sandworm-human hybrid tyrant for 3500 years.,3.86,123456
Heretics of Dune,Frank Herbert,Science Fiction,"1500 years later, Bene Gesserit, Honored Matres, New conflicts",https://covers.openlibrary.org/b/id/8457012-L.jpg,The Bene Gesserit face new threats from the returning Honored Matres.,3.76,89234
Chapterhouse: Dune,Frank Herbert,Science Fiction,"Series conclusion, Bene Gesserit survival, Final battle, Open ending",https://covers.openlibrary.org/b/id/8457013-L.jpg,The Bene Gesserit make their final stand on Chapterhouse planet.,3.78,67890
The Dosadi Experiment,Frank Herbert,Science Fiction,"Prison planet, Overpopulation, ConSentiency universe, Legal thriller",https://covers.openlibrary.org/b/id/8457014-L.jpg,A lawyer investigates a secret experiment on an overcrowded prison planet.,3.73,12345
Whipping Star,Frank Herbert,Science Fiction,"ConSentiency, Sentient stars, Saboteur, Bureaucracy",https://covers.openlibrary.org/b/id/8457015-L.jpg,An agent must prevent the destruction of sentient stars.,3.48,8901
The Santaroga Barrier,Frank Herbert,Science Fiction,"Small town, Mind control substance, Investigation, Conspiracy",https://covers.openlibrary.org/b/id/8457016-L.jpg,A psychologist investigates a town where a mysterious substance affects all residents.,3.49,6789
The White Plague,Frank Herbert,Science Fiction,"Bioterrorism, Gender-specific plague, Ireland, Revenge",https://covers.openlibrary.org/b/id/8457017-L.jpg,A scientist creates a plague that kills only women after his family is killed.,3.67,8901
The Dragon in the Sea,Frank Herbert,Science Fiction,"Submarine, Psychological thriller, Cold War, Underwater",https://covers.openlibrary.org/b/id/8457018-L.jpg,A psychologist joins a submarine crew to find a saboteur.,3.69,8901
Hellstrom's Hive,Frank Herbert,Science Fiction,"Insect society, Hidden community, Government investigation, Hive mind",https://covers.openlibrary.org/b/id/8457019-L.jpg,A secret human society modeled on insect hives is discovered.,3.66,8901
The Green Brain,Frank Herbert,Science Fiction,"Insect consciousness, Amazon, Ecological, Hive intelligence",https://covers.openlibrary.org/b/id/8457020-L.jpg,Insects develop collective intelligence to resist human extermination.,3.24,4567
Destination: Void,Frank Herbert,Science Fiction,"Ship AI, Consciousness creation, Deep space, Philosophical",https://covers.openlibrary.org/b/id/8457021-L.jpg,A crew must create an artificial consciousness to save their ship.,3.38,8901
The Jesus Incident,Frank Herbert & Bill Ransom,Science Fiction,"Void sequel, Colony world, Ship AI, Evolution",https://covers.openlibrary.org/b/id/8457022-L.jpg,Colonists on a hostile world deal with a godlike ship AI.,3.55,8901
The Lazarus Effect,Frank Herbert & Bill Ransom,Science Fiction,"Pandora sequence, Water world, Cloning, Evolution",https://covers.openlibrary.org/b/id/8457023-L.jpg,Humanity adapts to a water-covered world.,3.44,4567
The Ascension Factor,Frank Herbert & Bill Ransom,Science Fiction,"Pandora conclusion, Underwater cities, Revolution, Finale",https://covers.openlibrary.org/b/id/8457024-L.jpg,The Pandora sequence concludes.,3.45,3456
Man Plus,Frederik Pohl,Science Fiction,"Cyborg, Mars colonization, Transformation, Political",https://covers.openlibrary.org/b/id/8457025-L.jpg,A man is transformed into a cyborg to colonize Mars.,3.61,8901
Mars Plus,Frederik Pohl & Thomas T. Thomas,Science Fiction,"Sequel, Mars colony, Terraforming, AI",https://covers.openlibrary.org/b/id/8457026-L.jpg,The Mars colony deals with AI and terraforming challenges.,3.29,2345
Beyond the Blue Event Horizon,Frederik Pohl,Science Fiction,"Gateway sequel, Heechee artifacts, Deep space, Exploration",https://covers.openlibrary.org/b/id/8457027-L.jpg,Explorers venture further using Heechee technology.,3.81,12345
Heechee Rendezvous,Frederik Pohl,Science Fiction,"Gateway 3, Heechee contact, Mystery revealed, First contact",https://covers.openlibrary.org/b/id/8457028-L.jpg,Humanity finally meets the mysterious Heechee.,3.77,8901
The Annals of the Heechee,Frederik Pohl,Science Fiction,"Gateway 4, Universe threat, Cosmic scale, Uploaded consciousness",https://covers.openlibrary.org/b/id/8457029-L.jpg,The Heechee saga concludes with a universe-threatening discovery.,3.7,6789
The Gateway Trip,Frederik Pohl,Science Fiction,"Gateway stories, Short fiction, Various explorers, Prequel tales",https://covers.openlibrary.org/b/id/8457030-L.jpg,Short stories set in the Gateway universe.,3.78,4567
The Boy Who Would Live Forever,Frederik Pohl,Science Fiction,"Gateway final book, Multiple eras, Various characters, Conclusion",https://covers.openlibrary.org/b/id/8457031-L.jpg,The final Gateway novel spanning multiple time periods.,3.62,3456
Jem,Frederik Pohl,Science Fiction,"Colony world, Three alien species, Political allegory, First contact",https://covers.openlibrary.org/b/id/8457032-L.jpg,Humans colonize a world with three intelligent species.,3.51,4567
The Space Merchants,Frederik Pohl & C.M. Kornbluth,Science Fiction,"Advertising dystopia, Corporate control, Satire, Venus colony",https://covers.openlibrary.org/b/id/8457033-L.jpg,"In a world ruled by advertising agencies, a copywriter is sent to Venus.",3.68,12345
The Merchants' War,Frederik Pohl & C.M. Kornbluth,Science Fiction,"Sequel, Advertising, Corporate warfare, Satire continues",https://covers.openlibrary.org/b/id/8457034-L.jpg,The advertising war continues.,3.31,4567
Wolfbane,Frederik Pohl & C.M. Kornbluth,Science Fiction,"Earth stolen, Pyramid aliens, Survival, Resistance",https://covers.openlibrary.org/b/id/8457035-L.jpg,Aliens steal Earth from its orbit.,3.23,3456
The Cool War,Frederik Pohl,Science Fiction,"Economic warfare, Saboteurs, Near future, Spy thriller",https://covers.openlibrary.org/b/id/8457036-L.jpg,Nations fight through economic sabotage instead of military war.,3.31,2345
The Years of the City,Frederik Pohl,Science Fiction,"Future New York, Multiple eras, Urban planning, Episodic",https://covers.openlibrary.org/b/id/8457037-L.jpg,Stories of New York City's future across different eras.,3.44,2345
The World at the End of Time,Frederik Pohl,Science Fiction,"Cosmic beings, Generation ship, Time dilation, Stellar engineering",https://covers.openlibrary.org/b/id/8457038-L.jpg,Colonists encounter beings who play with stars like toys.,3.63,4567
Starburst,Frederik Pohl,Science Fiction,"Story collection, Various SF, Award winners, Career retrospective",https://covers.openlibrary.org/b/id/8457039-L.jpg,Collection of Pohl's science fiction stories.,3.71,2345
The Way the Future Was,Frederik Pohl,Science Fiction,"Autobiography, SF history, Editor years, Memoir",https://covers.openlibrary.org/b/id/8457040-L.jpg,Pohl's memoir of his science fiction career.,3.91,2345
The Coming of the Quantum Cats,Frederik Pohl,Science Fiction,"Parallel worlds, Multiple selves, Government conspiracy, Comedy",https://covers.openlibrary.org/b/id/8457041-L.jpg,A man meets alternate versions of himself from parallel worlds.,3.3,2345
Black Sun Rising,C.S. Friedman,Science Fiction,"Science fantasy, Colonists, Fae energy, Dark magic",https://covers.openlibrary.org/b/id/8457042-L.jpg,Colonists on an alien world discover a dangerous energy they call fae.,3.95,23456
When True Night Falls,C.S. Friedman,Science Fiction,"Coldfire sequel, Journey, Dark continent, Religion",https://covers.openlibrary.org/b/id/8457043-L.jpg,The unlikely duo travels to a dark continent seeking answers.,4.08,12345
Crown of Shadows,C.S. Friedman,Science Fiction,"Coldfire conclusion, Final battle, Sacrifice, Resolution",https://covers.openlibrary.org/b/id/8457044-L.jpg,The Coldfire trilogy concludes.,4.17,12345
This Alien Shore,C.S. Friedman,Science Fiction,"FTL mutation, Hacker, Corporate intrigue, Genetic diversity",https://covers.openlibrary.org/b/id/8457045-L.jpg,FTL travel causes mutations creating diverse human subspecies.,3.9,12345
The Madness Season,C.S. Friedman,Science Fiction,"Vampire, Alien occupation, Immortal protagonist, Resistance",https://covers.openlibrary.org/b/id/8457046-L.jpg,An immortal vampire survives alien occupation of Earth.,3.94,8901
In Conquest Born,C.S. Friedman,Science Fiction,"Space opera, Dueling empires, Enemies, Multi-generational",https://covers.openlibrary.org/b/id/8457047-L.jpg,Two enemies from rival empires engage in a lifelong conflict.,3.87,8901
The Wilding,C.S. Friedman,Science Fiction,"Disease planet, Psychic powers, Isolation, Survival",https://covers.openlibrary.org/b/id/8457048-L.jpg,A planet quarantined due to a psychic disease.,3.56,4567
This Virtual Night,C.S. Friedman,Science Fiction,"Virtual reality, Murder mystery, Hacker, Outworlds",https://covers.openlibrary.org/b/id/10909884-L.jpg,A hacker investigates murders in virtual reality.,3.78,4567
Nightborn,C.S. Friedman,Science Fiction,"Urban fantasy, Dreamwalkers, Secret society, Modern",https://covers.openlibrary.org/b/id/10909885-L.jpg,People who can enter dreams discover a supernatural conspiracy.,3.68,2345
Dreamwalker,C.S. Friedman,Science Fiction,"Sequel, Dream world, Supernatural threat, Modern fantasy",https://covers.openlibrary.org/b/id/10909886-L.jpg,The dreamwalkers face a greater supernatural threat.,3.75,1234
Dreamseeker,C.S. Friedman,Science Fiction,"Trilogy conclusion, Final battle, Dream realm, Resolution",https://covers.openlibrary.org/b/id/10909887-L.jpg,The Dreamwalker trilogy concludes.,3.81,890
The Windup Girl,Paolo Bacigalupi,Science Fiction,"Biopunk, Climate change, Thailand, Biotech noir",https://covers.openlibrary.org/b/id/8456891-L.jpg,"In a climate-ravaged future Bangkok, biotech and politics collide.",3.73,67890
Anathem,Neal Stephenson,Science Fiction,"Math monks, Parallel worlds, Philosophy, Alien contact",https://covers.openlibrary.org/b/id/8456871-L.jpg,Mathematician monks face an alien arrival that challenges everything.,4.11,89234
The Paper Menagerie and Other Stories,Ken Liu,Science Fiction,"Story collection, Award winners, Various themes, Asian-American",https://covers.openlibrary.org/b/id/8457049-L.jpg,Collection of Liu's award-winning science fiction and fantasy stories.,4.17,34567
The Hidden Girl and Other Stories,Ken Liu,Science Fiction,"Story collection, Silkpunk, Various futures, Technology",https://covers.openlibrary.org/b/id/10909888-L.jpg,More stories blending technology with Chinese cultural aesthetics.,4.11,12345
The Grace of Kings,Ken Liu,Science Fiction,"Silkpunk, Epic fantasy, Asian-inspired, Revolution",https://covers.openlibrary.org/b/id/8457050-L.jpg,Epic fantasy with Asian influences and steampunk-style technology.,3.84,34567
The Wall of Storms,Ken Liu,Science Fiction,"Silkpunk sequel, Empire building, Invasion, Technology",https://covers.openlibrary.org/b/id/8457051-L.jpg,The Dandelion Dynasty continues with new threats.,4.05,23456
The Veiled Throne,Ken Liu,Science Fiction,"Silkpunk 3, War, Political intrigue, Technology advancement",https://covers.openlibrary.org/b/id/10909889-L.jpg,The dynasty faces its greatest challenges.,4.11,12345
Speaking Bones,Ken Liu,Science Fiction,"Silkpunk 4, Conclusion building, Epic scope, Technology",https://covers.openlibrary.org/b/id/10909890-L.jpg,The Dandelion Dynasty continues toward its conclusion.,4.23,6789
The Galaxy and the Ground Within,Becky Chambers,Science Fiction,"Wayfarers finale, Stranded aliens, No humans, Character study",https://covers.openlibrary.org/b/id/10909875-L.jpg,Aliens from different species bond while stranded at a rest stop.,4.19,89234
Axiom's End,Lindsay Ellis,Science Fiction,"First contact, Government conspiracy, Translator role, Aliens on Earth",https://covers.openlibrary.org/b/id/10909891-L.jpg,A woman becomes translator between humanity and an alien refugee.,3.7,34567
Truth of the Divine,Lindsay Ellis,Science Fiction,"Sequel, PTSD, Alien contact continues, Political",https://covers.openlibrary.org/b/id/10909892-L.jpg,The relationship between humans and aliens becomes more complex.,3.83,23456
Apostles of Mercy,Lindsay Ellis,Science Fiction,"Trilogy conclusion, Alien politics, First contact finale, Resolution",https://covers.openlibrary.org/b/id/10909893-L.jpg,The Noumena trilogy concludes.,4.02,12345
Mockingbird,Walter Tevis,Science Fiction,"Post-human world, Robot society, Last humans, Melancholy",https://covers.openlibrary.org/b/id/8457052-L.jpg,"In a world of robots and recordings, one of the last humans seeks meaning.",3.98,12345
The Man Who Fell to Earth,Walter Tevis,Science Fiction,"Alien on Earth, Corporate intrigue, Disguised alien, Tragedy",https://covers.openlibrary.org/b/id/8457053-L.jpg,An alien comes to Earth seeking water for his dying planet.,3.81,23456
The Steps of the Sun,Walter Tevis,Science Fiction,"Mining expedition, Alien artifacts, Corporate, Resource quest",https://covers.openlibrary.org/b/id/8457054-L.jpg,A businessman seeks alien resources to save Earth.,3.43,4567
The Queen's Gambit,Walter Tevis,Science Fiction,"Chess prodigy, Addiction, Coming of age, 1960s",https://covers.openlibrary.org/b/id/8457055-L.jpg,An orphaned chess prodigy battles addiction while becoming world champion.,4.11,345678
Far from the Light of Heaven,Tade Thompson,Science Fiction,"Murder mystery, Generation ship, AI, Locked room",https://covers.openlibrary.org/b/id/10909894-L.jpg,An investigator must solve murders on a generation ship.,3.77,8901
Rosewater,Tade Thompson,Science Fiction,"Alien biodome, Nigeria, Psychic sensitives, First contact",https://covers.openlibrary.org/b/id/8457056-L.jpg,A mysterious alien dome appears in Nigeria creating psychic humans.,3.84,23456
The Rosewater Insurrection,Tade Thompson,Science Fiction,"Sequel, Alien occupation, Revolution, Nigerian setting",https://covers.openlibrary.org/b/id/8457057-L.jpg,The city of Rosewater faces revolution against alien influence.,3.95,12345
The Rosewater Redemption,Tade Thompson,Science Fiction,"Trilogy conclusion, War, Alien confrontation, Nigeria",https://covers.openlibrary.org/b/id/8457058-L.jpg,The Rosewater trilogy concludes.,4.02,8901
The Murders of Molly Southbourne,Tade Thompson,Science Fiction,"Body horror, Clones from blood, Murder, Psychological",https://covers.openlibrary.org/b/id/8457059-L.jpg,A woman creates murderous clones whenever she bleeds.,3.72,12345
The Survival of Molly Southbourne,Tade Thompson,Science Fiction,"Novella sequel, Clone horror, Survival, Identity",https://covers.openlibrary.org/b/id/10909895-L.jpg,Molly continues dealing with her deadly cloning condition.,3.83,4567
The Redemption of Molly Southbourne,Tade Thompson,Science Fiction,"Trilogy conclusion, Clone resolution, Final confrontation, Identity",https://covers.openlibrary.org/b/id/10909896-L.jpg,Molly's story concludes.,3.91,3456
Making Wolf,Tade Thompson,Science Fiction,"Novella, Werewolf detective, Noir, British",https://covers.openlibrary.org/b/id/8457060-L.jpg,A werewolf PI investigates in London.,3.54,2345
Gnomon,Nick Harkaway,Science Fiction,"Surveillance state, Nested narratives, Mystery, Near future London",https://covers.openlibrary.org/b/id/8457061-L.jpg,An investigator uncovers multiple realities in a surveillance state.,3.82,12345
The Gone-Away World,Nick Harkaway,Science Fiction,"Post-apocalyptic, Reality breakdown, Friendship, Twist",https://covers.openlibrary.org/b/id/8457062-L.jpg,"After a reality-warping weapon, firefighters protect the world from unreality.",4.04,23456
Angelmaker,Nick Harkaway,Science Fiction,"Steampunk, Clockwork, Bees, British",https://covers.openlibrary.org/b/id/8457063-L.jpg,A clockwork repairman becomes involved in a conspiracy involving mechanical bees.,3.92,23456
Tigerman,Nick Harkaway,Science Fiction,"Island, Superhero, Military, Found family",https://covers.openlibrary.org/b/id/8457064-L.jpg,A soldier on a remote island becomes a superhero for a local boy.,3.81,12345
Titanium Noir,Nick Harkaway,Science Fiction,"Detective noir, Titan treatment, Murder mystery, Near future",https://covers.openlibrary.org/b/id/10909897-L.jpg,"A detective investigates the murder of a Titan, a human enlarged by treatment.",3.77,8901
The Demolished Man,Alfred Bester,Science Fiction,"Telepathic police, Murder mystery, Corporate thriller, Future noir",https://covers.openlibrary.org/b/id/8235050-L.jpg,"In a future where telepaths prevent crime, a man attempts the impossible: premeditated murder.",3.97,23456
Market Forces,Richard K. Morgan,Science Fiction,"Corporate warfare, Road rage duels, Dystopian capitalism, Extreme competition",https://covers.openlibrary.org/b/id/8456881-L.jpg,Corporate executives fight literal road battles for promotions in a dystopian future.,3.49,12345
Black Man,Richard K. Morgan,Science Fiction,"Genetic supersoldiers, Manhunter, Mars colony, Prejudice",https://covers.openlibrary.org/b/id/8456882-L.jpg,A genetically enhanced enforcer hunts rogue super-soldiers on Earth and Mars.,3.89,23456
The Steel Remains,Richard K. Morgan,Science Fiction,"Dark fantasy SF, Gay protagonist, War veteran, Alien threat",https://covers.openlibrary.org/b/id/8456883-L.jpg,A war hero is pulled back into conflict when an alien threat emerges.,3.58,12345
The Cold Commands,Richard K. Morgan,Science Fiction,"Sequel, Dark fantasy, War, Empire building",https://covers.openlibrary.org/b/id/8456884-L.jpg,The hero must defend his empire against supernatural invasion.,3.72,6789
The Dark Defiles,Richard K. Morgan,Science Fiction,"Trilogy conclusion, Dark fantasy, Final battle, Cosmic horror",https://covers.openlibrary.org/b/id/8456885-L.jpg,The final confrontation with alien entities threatening the world.,3.81,4567
Thin Air,Richard K. Morgan,Science Fiction,"Mars colony, Murder mystery, Noir, Corporate corruption",https://covers.openlibrary.org/b/id/10909864-L.jpg,An ex-corporate enforcer investigates a murder in a Mars colony.,3.68,8901
A Memory Called Empire,Arkady Martine,Science Fiction,"Galactic empire, Ambassador, Memory implants, Political intrigue",https://covers.openlibrary.org/b/id/10909865-L.jpg,An ambassador from a small station navigates deadly politics in a vast empire.,4.13,89234
A Desolation Called Peace,Arkady Martine,Science Fiction,"Sequel, First contact, War, Communication",https://covers.openlibrary.org/b/id/10909866-L.jpg,The empire faces an incomprehensible alien threat and must find a way to communicate.,4.18,56789
The City in the Middle of the Night,Charlie Jane Anders,Science Fiction,"Tidally locked planet, Two cities, Aliens, Revolution",https://covers.openlibrary.org/b/id/10909867-L.jpg,"On a planet with eternal day and night, a young woman befriends native aliens.",3.54,23456
All the Birds in the Sky,Charlie Jane Anders,Science Fiction,"Magic and science, Childhood friends, Apocalypse, Romance",https://covers.openlibrary.org/b/id/8456886-L.jpg,A witch and a tech genius reunite as adults while the world ends around them.,3.57,67890
Dreams Before the Start of Time,Anne Charnock,Science Fiction,"Reproductive technology, Family saga, Multiple generations, Near future",https://covers.openlibrary.org/b/id/10909868-L.jpg,Three generations navigate changing reproductive technologies and family structures.,3.74,2345
The Sparrow,Mary Doria Russell,Science Fiction,"Jesuit mission, First contact, Alien planet, Tragedy",https://covers.openlibrary.org/b/id/8456887-L.jpg,A Jesuit mission to an alien world ends in catastrophe.,4.05,89234
Children of God,Mary Doria Russell,Science Fiction,"Sequel, Return mission, Alien societies, Redemption",https://covers.openlibrary.org/b/id/8456888-L.jpg,Survivors return to the alien world for a second encounter.,4.03,45678
The Speed of Dark,Elizabeth Moon,Science Fiction,"Autism, Near future, Cure decision, Workplace",https://covers.openlibrary.org/b/id/8456889-L.jpg,An autistic man must decide whether to undergo an experimental cure.,4.04,34567
